site_id,date,site_orders,site_views,site_units,site_revenue,impressions,clicks,channel_orders,cost,channel_revenue,channel_aov,cr,site_aov,cos
41,3/4/2017,8,737,11,1778.27,22341,209,4,180.1,595.00,148.75,0.0191,222.2837,0.3027
41,3/10/2017,14,1066,37,2339.50,22633,255,1,207.81,145.00,145,0.0039,167.1071,1.4332
30,3/15/2017,678,93026,3030,45659.20,46124,569,13,109.92,278.00,21.38461538,0.0228,67.3440,0.3954
26,3/13/2017,114,20328,129,9760.55,30254,372,7,181.22,246.18,35.16857147,0.0188,85.6189,0.7361
13,3/18/2017,74,6813,246,3636.50,10062,160,6,77.85,215.18,35.86333307,0.0375,49.1419,0.3618
42,2/23/2017,1400,70514,3000,152171.07,1074285,9044,278,8317.41,18285.16,65.77395663,0.0307,108.6936,0.4549
17,2/26/2017,112,16400,313,15649.03,66257,1081,23,155.11,3685.42,160.2356513,0.0213,139.7235,0.0421
38,3/17/2017,13,469,21,3718.61,12868,187,9,90.03,3063.77,340.41888,0.0481,286.0469,0.0294
38,3/21/2017,10,427,15,1565.67,14061,184,2,85.8,379.95,189.9750061,0.0109,156.5670,0.2258
24,3/18/2017,17,890,25,522.25,34115,450,7,58.47,255.22,36.46000017,0.0156,30.7206,0.2291
12,3/21/2017,18,2429,25,7091.75,20254,241,2,100.85,46.90,23.45000076,0.0083,393.9861,2.1503
43,3/4/2017,225,14613,668,12995.53,49236,504,17,247.81,593.63,34.91941149,0.0337,57.7579,0.4174
21,3/12/2017,14,997,19,709.58,32457,367,12,30.32,600.53,50.04416581,0.0327,50.6843,0.0505
37,3/4/2017,282,19606,739,35368.33,60451,832,19,504.14,991.64,52.19157876,0.0228,125.4196,0.5084
43,3/21/2017,188,14576,452,8818.61,68282,701,24,207.38,732.65,30.5270834,0.0342,46.9075,0.2831
5,3/10/2017,61,8588,495,2911.61,127354,1458,24,166.27,1254.55,52.27291764,0.0165,47.7313,0.1325
44,3/17/2017,86,16963,276,6400.65,48583,543,12,179.43,488.74,40.72833347,0.0221,74.4262,0.3671
